"Volt","Freq","Zreal","Zimag","Zreal_pred","Zimag_pred"
3.65,1976,0.01243,0.0002345,0.0112499535381209,0.000272975
3.65,1578,0.01263,0.0006026,0.0114623119640035,0.0006796
3.65,1266,0.01284,0.0009106,0.011699398624056,0.00098345
3.65,998.3,0.01311,0.001202,0.0120148999250206,0.00126175
3.65,796.9,0.01339,0.001441,0.0122703072619364,0.00149625
3.65,627.8,0.01371,0.001662,0.0125914725748318,0.0017015
3.65,505.5,0.01403,0.00182,0.0129700765775041,0.00185625
3.65,398,0.0144,0.001965,0.0133859844744269,0.00192875
3.65,252.4,0.01512,0.002141,0.0141380030984532,0.0021545
3.65,198.6,0.0155,0.002195,0.0144879031937086,0.00220225
3.65,158.4,0.01585,0.002224,0.0148577955823495,0.0022285
3.65,125.6,0.01622,0.002242,0.0152525397844215,0.00224475
3.65,100.4,0.01656,0.002253,0.0155667174163654,0.0022535
3.65,79,0.01693,0.002255,0.0160748351196251,0.0022545
3.65,50.22,0.01762,0.00224,0.0168009936229821,0.002227
3.65,31.25,0.01835,0.002188,0.017604698775543,0.0021585
3.65,19.86,0.01905,0.00207,0.0182008679498509,0.002044
3.65,15.63,0.01941,0.001966,0.0184520895560357,0.001992
3.65,9.931,0.02,0.001702,0.0190613013612616,0.0016655
3.65,7.945,0.02023,0.001556,0.0192395853666861,0.00151925
3.65,6.317,0.02044,0.001409,0.0195317633511657,0.00137475
3.65,5.008,0.02062,0.001272,0.0197231910266622,0.00130625
3.65,3.159,0.02089,0.00105,0.0201791208354085,0.001026225
3.65,2.504,0.021,0.0009549,0.0202364228637008,0.00093965
3.65,1.998,0.02109,0.0008939,0.0204089174995626,0.00090915
3.65,1.267,0.02125,0.000835,0.0206346768331214,0.000834475
3.65,0.999,0.02133,0.0008329,0.0206162369662602,0.0008378
3.65,0.7923,0.02141,0.0008525,0.0208561392608337,0.0008476
3.65,0.4006,0.02166,0.00104,0.0209655263447346,0.001068
3.65,0.3167,0.02176,0.001152,0.021030138718387,0.0011865
3.65,0.252,0.02187,0.00129,0.0210688309778401,0.00133075
3.65,0.2003,0.022,0.001453,0.0212537490857009,0.00141225
3.65,0.1002,0.02256,0.002165,0.0219532700559877,0.00224725
3.65,0.07945,0.02279,0.002494,0.0219954230123589,0.0025885
3.65,0.06317,0.02298,0.002872,0.0222663005770113,0.00298225
3.65,0.05013,0.02328,0.003313,0.0225937667409299,0.0034395
3.65,0.03983,0.02364,0.003819,0.0228917325067661,0.0036925
3.65,0.02512,0.02456,0.005055,0.0240747418272723,0.005241
3.65,0.01996,0.02515,0.005799,0.0246684540054766,0.006005
3.65,0.01585,0.02586,0.006623,0.025443007442568,0.0068495
3.65,0.01259,0.02669,0.007529,0.0262962628915858,0.00777175
3.65,0.01,0.02767,0.0085,0.0272417878881094,0.008756
3.65,0.007944,0.02878,0.009524,0.0283379935056475,0.0097955
3.65,0.00631,0.03,0.01061,0.0296586003163783,0.0108975
3.65,0.005012,0.03133,0.01176,0.0313552949031469,0.01207
3.65,0.003981,0.03274,0.013,0.032607674399705,0.0133375
3.65,0.003162,0.0342,0.01435,0.0340567107119836,0.0147275
3.65,0.002512,0.03574,0.01586,0.035497565859241,0.01629
3.65,0.001995,0.0373,0.01758,0.0370038511429734,0.0180725
3.65,0.001585,0.03887,0.01955,0.0385544195987802,0.0201325
3.65,0.001259,0.04044,0.02188,0.040331292206248,0.02259
3.65,0.001,0.04201,0.02472,0.0421113599555258,0.025595
3.65,0.0007943,0.04358,0.02822,0.0437348582096314,0.0293725
3.65,0.0006275,0.04525,0.03283,0.045448904929408,0.0341825
3.65,0.0005037,0.04688,0.03824,0.0470869949519352,0.04008
3.65,0.0003974,0.04873,0.0456,0.0490625570378594,0.047875
3.65,0.0003165,0.05076,0.0547,0.051126924667862,0.0574875
3.65,0.0002519,0.05185,0.06585,0.0531987593545722,0.0694325
3.65,0.0001998,0.05356,0.08018,0.0557875743825354,0.0849675
3.65,0.0001583,0.05742,0.09933,0.059369810890192,0.1052725
3.65,0.0001259,0.06139,0.1231,0.0649183995882823,0.1171575
3.65,7.948e-05,0.0699,0.1905,0.0741545720416035,0.2023
3.65,6.308e-05,0.07463,0.2377,0.0797193389874526,0.252675
3.65,5.009e-05,0.08073,0.2976,0.0878576210324915,0.316575
3.65,3.983e-05,0.08909,0.3735,0.0966625163579304,0.3976
3.65,3.162e-05,0.09979,0.4699,0.109518850340401,0.50015
3.65,2.512e-05,0.1136,0.5909,0.123215258187939,0.629375
3.65,1.995e-05,0.1289,0.7448,0.138361011510062,0.791775
3.65,1.585e-05,0.1473,0.9327,0.151208036755108,0.991775
3.65,1.259e-05,0.1617,1.169,0.161969855432194,1.25
3.65,9.999e-06,0.2005,1.493,0.17225484782046,1.412
3.879,3984,0.01208,-0.001202,0.0108361512643424,-0.00123475
3.879,3171,0.01218,-0.0006031,0.0109208263007736,-0.00063765
3.879,2528,0.01232,-9.162e-05,0.0110563992458788,-0.000128565
3.879,1976,0.01252,0.0003884,0.0112590561406475,0.000349925
3.879,1578,0.01273,0.0007751,0.0114799014819103,0.000857575
3.879,1266,0.01297,0.001105,0.0117215786791529,0.001184
3.879,998.3,0.01326,0.001421,0.0120434896126153,0.00148625
3.879,796.9,0.01356,0.001682,0.0123163460069949,0.00174275
3.879,627.8,0.01392,0.001925,0.0126186788854669,0.00197425
3.879,505.5,0.01427,0.002122,0.0130570431005127,0.002167
3.879,398,0.01468,0.002302,0.0134766389377388,0.00233725
3.879,315.5,0.0151,0.002443,0.0139802775056632,0.0024695
3.879,252.4,0.01552,0.002549,0.0142974120448167,0.0025695
3.879,198.6,0.01597,0.002631,0.0147243437841636,0.00264425
3.879,158.4,0.0164,0.002684,0.0151727021252199,0.00269275
3.879,125.6,0.01684,0.002719,0.0155776863807828,0.002724
3.879,100.4,0.01726,0.002739,0.0159632227118063,0.002734
3.879,50.22,0.01852,0.002763,0.017238671366845,0.00276475
3.879,38.42,0.01899,0.00277,0.0178324356055696,0.00277225
3.879,31.25,0.01937,0.002779,0.0181123471433943,0.002781
3.879,24.93,0.01979,0.002787,0.0186715714740343,0.002787
3.879,19.86,0.02024,0.002787,0.0189871241641981,0.00277975
3.879,15.63,0.02073,0.002758,0.0193954517296054,0.002741
3.879,12.4,0.02119,0.00269,0.0199866669297426,0.00266375
3.879,9.931,0.02162,0.002585,0.0202530802415886,0.00261125
3.879,6.317,0.0224,0.002283,0.02110934478213,0.00216325
3.879,3.159,0.02323,0.001804,0.0221496666400718,0.0017735
3.879,2.504,0.02343,0.001682,0.022306295611201,0.0016605
3.879,1.998,0.02361,0.001596,0.022505843769468,0.0015825
3.879,1.585,0.02378,0.001542,0.0228508100865224,0.0015365
3.879,1.267,0.02393,0.00152,0.0229506418016274,0.001522
3.879,0.999,0.02409,0.001528,0.0230039058236554,0.0015385
3.879,0.7923,0.02424,0.00157,0.0233166244420298,0.0015595
3.879,0.504,0.02456,0.001751,0.0238109676814457,0.001786
3.879,0.4006,0.02474,0.001891,0.0238404412510797,0.0019375
3.879,0.3167,0.02494,0.002077,0.0240692132570978,0.00213275
3.879,0.252,0.02515,0.0023,0.0241499105029327,0.00236725
3.879,0.2003,0.02538,0.002569,0.0244221939357579,0.0026495
3.879,0.1589,0.02565,0.002891,0.0248592530477878,0.00298625
3.879,0.126,0.02597,0.003272,0.0251504981666254,0.003384
3.879,0.1002,0.02634,0.00372,0.0253243895489009,0.00385275
3.879,0.07945,0.02679,0.004251,0.0256248442894306,0.004403
3.879,0.06317,0.02706,0.004859,0.0261271712467532,0.004707
3.879,0.03983,0.02807,0.006415,0.0272066429485055,0.00665675
3.879,0.03163,0.02871,0.007382,0.027900046912876,0.00714025
3.879,0.01996,0.03031,0.009795,0.0296383229277757,0.01016625
3.879,0.01585,0.03136,0.01128,0.0306573723167142,0.0116925
3.879,0.01259,0.0326,0.01293,0.0318683642041502,0.0133825
3.879,0.01,0.03409,0.01474,0.0334996951197217,0.0152225
3.879,0.007944,0.03585,0.01667,0.0352470345172479,0.01718
3.879,0.00631,0.03791,0.01871,0.0374191514538832,0.019245
3.879,0.005012,0.04022,0.02085,0.0397466743729497,0.020315
3.879,0.003162,0.04546,0.02545,0.0449917381142513,0.0260775
3.879,0.002512,0.04825,0.02796,0.0478385596831613,0.0286525
3.879,0.001995,0.0511,0.03073,0.050614677417514,0.031505
3.879,0.001585,0.05395,0.03383,0.0533574002029839,0.034735
3.879,0.001259,0.05697,0.03745,0.0565000158185356,0.03853
3.879,0.001,0.06025,0.04177,0.0600250775177976,0.043055
3.879,0.0007943,0.0637,0.04691,0.0633741723888268,0.0484575
3.879,0.0006275,0.06733,0.0531,0.0670602501881505,0.0548675
3.879,0.0005037,0.07103,0.06017,0.0705419320822582,0.062515
3.879,0.0003974,0.07541,0.06955,0.0755473735430458,0.0723475
3.879,0.0003165,0.08003,0.08074,0.0796768440903355,0.083935
3.879,0.0002519,0.08327,0.09352,0.0834373414085786,0.097565
3.879,0.0001998,0.08656,0.1097,0.0872703921264324,0.1152
3.879,0.0001583,0.09227,0.1317,0.093230151469879,0.13865
3.879,0.0001259,0.09951,0.1595,0.100116603481238,0.15255
3.879,7.948e-05,0.113,0.2368,0.112885376392984,0.25005
3.879,6.308e-05,0.1174,0.2898,0.120016183287113,0.307025
3.879,5.009e-05,0.1249,0.3587,0.127830527286987,0.38025
3.879,3.983e-05,0.1337,0.4449,0.135149168397086,0.472325
3.879,3.162e-05,0.1417,0.5546,0.143340434319865,0.527175
3.879,1.995e-05,0.1718,0.8691,0.164463213974283,0.992325
3.879,1.259e-05,0.2073,1.362,0.181082255612644,1.238775
4.187,3984,0.0123,-0.001051,0.0109206597794483,-0.0011185
4.187,2528,0.01259,8.407e-05,0.0111566411801566,1.52275e-05
4.187,1578,0.01305,0.0009889,0.0116149729176537,0.000912725
4.187,1266,0.01331,0.001335,0.0118620762972562,0.00125425
4.187,998.3,0.01363,0.001677,0.0122425107984977,0.00174975
4.187,796.9,0.01397,0.001968,0.0124864238641268,0.0018695
4.187,505.5,0.01476,0.002472,0.0132727147503036,0.00235075
4.187,398,0.01522,0.002691,0.0137234059083857,0.0025545
4.187,315.5,0.0157,0.00287,0.0142436678349191,0.00271875
4.187,252.4,0.01619,0.003009,0.0146657025645757,0.00284475
4.187,198.6,0.01672,0.003122,0.0151617596153328,0.00294575
4.187,158.4,0.01723,0.003197,0.0156399343142837,0.00301325
4.187,125.6,0.01775,0.003246,0.0161895809806564,0.00305875
4.187,100.4,0.01824,0.003272,0.0166251473098536,0.003085
4.187,79,0.01874,0.003289,0.0170851936946064,0.00310675
4.187,50.22,0.01962,0.003325,0.017889849318836,0.00316075
4.187,38.42,0.02007,0.003393,0.018521319098539,0.003416
4.187,31.25,0.0204,0.003485,0.0187972382558072,0.00352825
4.187,24.93,0.02074,0.003658,0.0192539203173556,0.003728
4.187,19.86,0.02119,0.003938,0.019620354704392,0.00403825
4.187,15.63,0.02151,0.004339,0.019969341248978,0.0044715
4.187,12.4,0.0219,0.004869,0.0204638940741828,0.005031
4.187,9.931,0.02233,0.005517,0.0207880904646968,0.00571725
4.187,7.945,0.02291,0.006318,0.0213024089899688,0.0065605
4.187,6.317,0.02369,0.007288,0.022057533978975,0.0070455
4.187,3.946,0.02612,0.009614,0.0247390393450427,0.0098905
4.187,3.159,0.02777,0.01072,0.0261750559258981,0.0109675
4.187,2.504,0.02987,0.01171,0.0281786690972321,0.0114625
4.187,1.585,0.03479,0.01269,0.0334660177844997,0.012655
4.187,1.267,0.0373,0.01255,0.0353764710477773,0.01241
4.187,0.999,0.03979,0.01199,0.0375738917626526,0.01213
4.187,0.6334,0.04362,0.01017,0.042014382873497,0.00992075
4.187,0.504,0.04503,0.009173,0.0435925499689574,0.00894025
4.187,0.4006,0.04615,0.008242,0.0445011934830308,0.0080375
4.187,0.3167,0.04707,0.007424,0.0454643406261602,0.0072665
4.187,0.252,0.04779,0.006794,0.0460640786560516,0.0069515
4.187,0.1589,0.04891,0.006033,0.0475741645882383,0.0060045
4.187,0.126,0.04945,0.005919,0.0481299039965567,0.0059335
4.187,0.1002,0.04996,0.005977,0.0486576070736244,0.006033
4.187,0.07945,0.05053,0.006201,0.0491609953432361,0.006294
4.187,0.06317,0.05086,0.006573,0.0495400648796861,0.0067105
4.187,0.05013,0.05141,0.007123,0.0502541225104043,0.00729975
4.187,0.03983,0.05205,0.00783,0.0509203384984446,0.008051
4.187,0.03163,0.05278,0.008714,0.0515821247359287,0.008978
4.187,0.02512,0.05364,0.00977,0.0523564062926203,0.009506
4.187,0.01585,0.05584,0.01246,0.0549762647511245,0.012875
4.187,0.01259,0.05721,0.01412,0.0560780276986864,0.01459
4.187,0.01,0.0588,0.016,0.0575325699452361,0.0165225
4.187,0.007944,0.06063,0.01809,0.0594843421240409,0.0186725
4.187,0.00631,0.06267,0.02042,0.0611872841620757,0.02107
4.187,0.005012,0.06489,0.02302,0.0634737441006028,0.0237625
4.187,0.003981,0.06726,0.02599,0.0658804344575599,0.026855
4.187,0.003162,0.0696,0.02945,0.0681179029357485,0.0304875
4.187,0.002512,0.07212,0.0336,0.070827267248143,0.034875
4.187,0.001995,0.0748,0.0387,0.0733092449552376,0.04027
4.187,0.001585,0.07758,0.04498,0.0754140677520461,0.04341
4.187,0.001,0.08394,0.06249,0.0823050951045443,0.06551
4.187,0.0007943,0.08754,0.07457,0.0853956786220978,0.0784525
4.187,0.0006275,0.09167,0.0901,0.0891750705268282,0.0862175
4.187,0.0003974,0.1005,0.1323,0.0987064516529583,0.1397
4.187,0.0003165,0.1066,0.1619,0.103293179917013,0.171
4.187,0.0002519,0.1113,0.1983,0.107388928613655,0.209425
4.187,0.0001998,0.111,0.2428,0.109772274748525,0.25725
4.187,0.0001583,0.1148,0.3006,0.11373699089569,0.319025
4.187,0.0001259,0.1249,0.3743,0.118434604508922,0.355875
4.187,6.308e-05,0.1344,0.7204,0.131785480974683,0.76565
4.187,5.009e-05,0.1409,0.9014,0.140252153418522,0.95805
4.187,3.983e-05,0.1494,1.128,0.147150239159893,1.19925
4.187,3.162e-05,0.1586,1.413,0.155286971173552,1.50575
4.187,2.512e-05,0.1788,1.784,0.16937850340466,1.90075
4.187,1.995e-05,0.197,2.251,0.181197431137337,2.13425
4.193,3984,0.01205,-0.001321,0.0108909092645197,-0.0012535
4.193,2528,0.01229,-0.0001913,0.0111285231889389,-0.0001224575
4.193,1578,0.01268,0.0006842,0.0115535604860498,0.000760375
4.193,1266,0.01292,0.001012,0.0117867975648098,0.00109275
4.193,796.9,0.01349,0.001574,0.0124061620261212,0.0016725
4.193,627.8,0.01384,0.001806,0.0126640473385354,0.00185125
4.193,505.5,0.01418,0.001987,0.0131041535347457,0.00210825
4.193,398,0.01457,0.002145,0.0135085621385035,0.0022815
4.193,315.5,0.01496,0.002265,0.0139696302644907,0.00241625
4.193,252.4,0.01534,0.002352,0.01432765956952,0.00251625
4.193,198.6,0.01575,0.002417,0.0147597835865963,0.00259325
4.193,158.4,0.01613,0.002462,0.0151374621348714,0.00264575
4.193,125.6,0.01651,0.002497,0.0155466709995375,0.00268425
4.193,100.4,0.01686,0.002524,0.0158861522718706,0.002711
4.193,79,0.01722,0.00256,0.0162483594046725,0.00274225
4.193,63.34,0.01754,0.0026,0.0165027701051112,0.002617
4.193,50.22,0.01785,0.002668,0.0168747562081851,0.00283225
4.193,38.42,0.01818,0.002794,0.0172983111686325,0.002832
4.193,31.25,0.01843,0.002946,0.0175030567931507,0.003006
4.193,24.93,0.01869,0.003186,0.0178409749296185,0.0032715
4.193,19.86,0.01903,0.003528,0.0181773681006837,0.00364575
4.193,15.63,0.01936,0.003999,0.0185245611051887,0.00414625
4.193,12.4,0.01979,0.004588,0.0190890218982083,0.00475825
4.193,9.931,0.02022,0.005269,0.0194720620958037,0.00547025
4.193,7.945,0.02085,0.006074,0.0202012281618611,0.00587275
4.193,5.008,0.02286,0.007993,0.0222006416833566,0.00823975
4.193,3.946,0.02437,0.00898,0.0240783359573517,0.009175
4.193,3.159,0.02607,0.00976,0.0255771628048138,0.009895
4.193,2.504,0.02811,0.0103,0.0275067371020423,0.0103475
4.193,1.998,0.03021,0.01049,0.0294435922222631,0.010445
4.193,1.585,0.03236,0.01031,0.0322300604341983,0.0101885
4.193,1.267,0.03427,0.009824,0.0338545594621569,0.0099455
4.193,0.7923,0.03746,0.008229,0.0367119873286025,0.00802575
4.193,0.6334,0.03856,0.007416,0.0380216698126913,0.00761925
4.193,0.4006,0.04016,0.006012,0.0394665813505983,0.00588175
4.193,0.3167,0.04075,0.005491,0.0399980550841396,0.0054
4.193,0.252,0.04123,0.005127,0.0403006539412376,0.005218
4.193,0.1589,0.04205,0.00482,0.0414333800622325,0.00483425
4.193,0.126,0.04248,0.004877,0.0418526112426472,0.00486275
4.193,0.07945,0.04343,0.005411,0.0427886927387815,0.0055215
4.193,0.06317,0.04379,0.005853,0.0431108199493721,0.00600075
4.193,0.05013,0.04434,0.006444,0.043822244552941,0.00662725
4.193,0.03983,0.04497,0.007177,0.0444160901124296,0.0073945
4.193,0.03163,0.04572,0.008047,0.0452687283334772,0.00830225
4.193,0.02512,0.04657,0.009068,0.0462315352181024,0.009366
4.193,0.01996,0.04757,0.01026,0.0472631687392751,0.009962
4.193,0.01259,0.05001,0.01319,0.0501355991285893,0.013625
4.193,0.01,0.05149,0.01493,0.051294826174141,0.0154175
4.193,0.007944,0.05313,0.01688,0.0529483058235216,0.017425
4.193,0.00631,0.05495,0.01906,0.0545323784711005,0.0196725
4.193,0.005012,0.0568,0.02151,0.0566216295549253,0.0222225
4.193,0.003981,0.05862,0.02436,0.0587143238180691,0.0252225
4.193,0.003162,0.06067,0.02781,0.0605678477656309,0.02885
4.193,0.002512,0.06277,0.03197,0.0628430984523426,0.03324
4.193,0.001995,0.06488,0.03705,0.0650941498511466,0.0386225
4.193,0.001585,0.06711,0.04334,0.067268785985334,0.0452925
4.193,0.001259,0.06936,0.05115,0.0693915867333221,0.053575
4.193,0.001,0.07181,0.06085,0.0728231019068581,0.063885
4.193,0.0007943,0.07447,0.07299,0.0755827615113503,0.07689
4.193,0.0006275,0.07762,0.08859,0.0790136846625065,0.0931425
4.193,0.0005037,0.08089,0.1068,0.0814792939663525,0.1022475
