"Volt","Freq","Zreal","Zimag","Zreal_pred","Zimag_pred"
3.177,2.51e-05,0.5258,5.739,0.16846849635673,3.95637755558139
3.177,2e-05,0.6174,7.18,0.162092748662766,4.10382094510869
3.177,1.59e-05,0.7392,8.987,0.192382009963481,5.08739428613568
3.177,1.26e-05,0.6403,11.04,0.201623889818432,7.33624632523047
3.177,1e-05,0.8774,14.13,0.205865993926808,7.51533601756561
3.387,10080,0.01235,-0.004832,0.0732429111133201,0.0544675017733663
3.387,8016,0.01233,-0.003668,0.0732588755996212,0.091997792568671
3.387,6328,0.0123,-0.002631,0.0759831341366402,0.0561232120600277
3.387,3171,0.01255,-0.0004566,0.072850306893414,0.0576971583390964
3.387,1976,0.01293,0.0005575,0.0728274286305748,0.0584841126423362
3.387,1578,0.01316,0.0009599,0.0728393225939274,0.0587592036830157
3.387,1266,0.01342,0.001303,0.0729249362479888,0.0590154816123255
3.387,998.3,0.01374,0.001638,0.0729438269502923,0.0592443831609964
3.387,627.8,0.01446,0.002195,0.0730393166907112,0.059728971469119
3.387,505.5,0.01484,0.002412,0.073074128240549,0.0598036791110024
3.387,398,0.01529,0.00262,0.0731083718697641,0.0599399379675332
3.387,315.5,0.01576,0.002793,0.0734864248796872,0.0600560564784048
3.387,252.4,0.01623,0.002932,0.0736946448864361,0.0601504987611427
3.387,198.6,0.01674,0.003049,0.0735366290219518,0.0602257570024039
3.387,158.4,0.01723,0.003135,0.0736061431011451,0.0602841205364433
3.387,125.6,0.01773,0.003201,0.0736803466639237,0.0603288639806124
3.387,79,0.01871,0.003296,0.0738305018137789,0.0603983554178648
3.387,63.34,0.01916,0.003335,0.0738774817026958,0.0604416209373885
3.387,38.42,0.02011,0.003465,0.0740933130193161,0.0606660916100144
3.387,31.25,0.02048,0.003562,0.074529848633503,0.0607117623794513
3.387,19.86,0.02136,0.003954,0.0747419438446564,0.061140940104934
3.387,12.4,0.02218,0.004717,0.0746056450521552,0.0616172085666699
3.387,9.931,0.02263,0.005239,0.0749431465996518,0.0620415757923262
3.387,7.945,0.02321,0.005889,0.0748401846034386,0.0625544736021384
3.387,6.317,0.02389,0.006672,0.0748964863577246,0.0630291482235704
3.387,5.008,0.0248,0.007584,0.0751163999189363,0.0637730079828828
3.387,3.946,0.02598,0.008606,0.0761577295190416,0.0644811657193866
3.387,1.998,0.03102,0.01131,0.0764375619273633,0.0662171765784527
3.387,1.267,0.03551,0.01211,0.0771172052997506,0.0665602869275219
3.387,0.999,0.03792,0.01202,0.0773171003735532,0.0664725967318899
3.387,0.7923,0.04015,0.01161,0.0779656672696499,0.0661720274294789
3.387,0.6334,0.04211,0.011,0.0781295304696876,0.0656960777358038
3.387,0.4006,0.04535,0.009464,0.0790443703430837,0.0643578604376898
3.387,0.3167,0.04664,0.008686,0.0792111582734603,0.0641145244916481
3.387,0.252,0.04772,0.008022,0.0793230433728236,0.0636712050558321
3.387,0.2003,0.04862,0.007467,0.0796249205980956,0.063316792930062
3.387,0.1589,0.04943,0.007043,0.0797597086433696,0.0630601556622109
3.387,0.126,0.05018,0.006768,0.0798670722826164,0.0629093493905423
3.387,0.1002,0.05091,0.006646,0.0800302818223457,0.0628671271119449
3.387,0.06317,0.05219,0.006839,0.0803088080992012,0.0631099124586089
3.387,0.05013,0.0529,0.007172,0.0804405008547561,0.0634013534029154
3.387,0.03983,0.0537,0.007664,0.0806691401806995,0.0637151950482212
3.387,0.03163,0.05458,0.008318,0.0808220883489727,0.0643191446077611
3.387,0.02512,0.0556,0.009137,0.0809389672507951,0.0650204343415006
3.387,0.01585,0.05807,0.01128,0.0817854732358126,0.06717194487835
