"Volt","Freq","Zreal","Zimag"
3.65,0.02512,0.02456,0.005055
3.65,0.01996,0.02515,0.005799
3.65,0.01585,0.02586,0.006623
3.65,0.01259,0.02669,0.007529
3.65,0.01,0.02767,0.0085
3.65,0.007944,0.02878,0.009524
3.65,0.00631,0.03,0.01061
3.65,0.005012,0.03133,0.01176
3.65,0.003981,0.03274,0.013
3.65,0.003162,0.0342,0.01435
3.65,0.002512,0.03574,0.01586
3.65,0.001995,0.0373,0.01758
3.65,0.001585,0.03887,0.01955
3.65,0.001259,0.04044,0.02188
3.65,0.001,0.04201,0.02472
3.65,0.0007943,0.04358,0.02822
3.65,0.0006275,0.04525,0.03283
3.65,0.0005037,0.04688,0.03824
3.65,0.0003974,0.04873,0.0456
3.65,0.0003165,0.05076,0.0547
3.65,0.0002519,0.05185,0.06585
3.65,0.0001998,0.05356,0.08018
3.65,0.0001583,0.05742,0.09933
3.65,0.0001259,0.06139,0.1231
3.65,9.99e-05,0.06385,0.1524
3.65,7.948e-05,0.0699,0.1905
3.65,6.308e-05,0.07463,0.2377
3.65,5.009e-05,0.08073,0.2976
3.65,3.983e-05,0.08909,0.3735
3.65,3.162e-05,0.09979,0.4699
3.65,2.512e-05,0.1136,0.5909
3.65,1.995e-05,0.1289,0.7448
3.65,1.585e-05,0.1473,0.9327
3.65,1.259e-05,0.1617,1.169
3.65,9.999e-06,0.2005,1.493
3.879,10080,0.01209,-0.004955
3.879,8016,0.01202,-0.003778
3.879,6328,0.01199,-0.002754
3.879,5016,0.01201,-0.001909
3.879,3984,0.01208,-0.001202
3.879,3171,0.01218,-0.0006031
3.879,2528,0.01232,-9.162e-05
3.879,1976,0.01252,0.0003884
3.879,1578,0.01273,0.0007751
3.879,1266,0.01297,0.001105
3.879,998.3,0.01326,0.001421
3.879,796.9,0.01356,0.001682
3.879,627.8,0.01392,0.001925
3.879,505.5,0.01427,0.002122
3.879,398,0.01468,0.002302
3.879,315.5,0.0151,0.002443
3.879,252.4,0.01552,0.002549
3.879,198.6,0.01597,0.002631
3.879,158.4,0.0164,0.002684
3.879,125.6,0.01684,0.002719
3.879,100.4,0.01726,0.002739
